"Table","Column","CLRType","DbType","MaxLength","IsNullable","IsPrimaryKey","ForeignKeyEntity"
"Agents","AgentId","int?","int","","True","False","RealEstate.Models.Agent"
"Agents","AppointmentId","int","","","True","True","RealEstate.Models.Appointment"
"Agents","AppointmentId","int","int","","True","True","RealEstate.Models.Appointment"
"Agents","AppointmentType","string","nvarchar(20)","20","True","False",""
"Agents","Bio","string","nvarchar(max)","","False","False",""
"Agents","BrokerLatitude","double?","float","","True","False",""
"Agents","BrokerLocationLastUpdated","DateTime?","datetime2","","True","False",""
"Agents","BrokerLongitude","double?","float","","True","False",""
"Agents","BuyerType","string","nvarchar(50)","50","True","False",""
"Agents","CreatedAt","DateTime","datetime2","","True","False",""
"Agents","CreatedAt","DateTime?","datetime2","","True","False",""
"Agents","CreatedAtUtc","DateTime","datetime2","","True","False",""
"Agents","CustomerAddress","string","nvarchar(200)","200","True","False",""
"Agents","CustomerEmail","string","nvarchar(100)","100","False","False",""
"Agents","CustomerLatitude","double?","float","","True","False",""
"Agents","CustomerLongitude","double?","float","","True","False",""
"Agents","CustomerName","string","nvarchar(100)","100","False","False",""
"Agents","CustomerPhone","string","nvarchar(20)","20","True","False",""
"Agents","CustomerPhotoUrl","string","nvarchar(500)","500","True","False",""
"Agents","Email","string","nvarchar(max)","","False","False",""
"Agents","Email","string","nvarchar(255)","255","False","False",""
"Agents","EmployeeId","int?","int","","True","True","RealEstate.Models.Employee"
"Agents","FinancingStatus","string","nvarchar(50)","50","True","False",""
"Agents","FirstName","string","nvarchar(max)","","False","False",""
"Agents","FullName","string","nvarchar(100)","100","False","False",""
"Agents","Id","int","","","True","True",""
"Agents","Id","int","int","","True","True",""
"Agents","IdNumber","string","nvarchar(100)","100","True","False",""
"Agents","IdType","string","nvarchar(50)","50","True","False",""
"Agents","InformationSource","string","nvarchar(100)","100","True","False",""
"Agents","IsActive","bool","bit","","True","False",""
"Agents","IsArchived","bool","bit","","True","False",""
"Agents","LastLogin","DateTime?","datetime2","","True","False",""
"Agents","LastName","string","nvarchar(max)","","False","False",""
"Agents","LicenseNumber","string","nvarchar(max)","","False","False",""
"Agents","MeetingPoint","string","nvarchar(100)","100","True","False",""
"Agents","MiddleName","string","nvarchar(max)","","True","False",""
"Agents","Name","string","nvarchar(max)","","False","False",""
"Agents","Notes","string","nvarchar(500)","500","True","False",""
"Agents","NumberOfVisitors","int","int","","True","False",""
"Agents","Password","string","nvarchar(30)","30","False","False",""
"Agents","PasswordHash","string","nvarchar(500)","500","False","False",""
"Agents","Phone","string","nvarchar(max)","","False","False",""
"Agents","PhoneNumber","string","nvarchar(20)","20","False","False",""
"Agents","PhoneNumber","string","nvarchar(max)","","False","False",""
"Agents","PhotoUrl","string","nvarchar(max)","","False","False",""
"Agents","PreferredDate","DateTime","datetime2","","True","False",""
"Agents","PreferredTime","string","nvarchar(100)","100","True","False",""
"Agents","ProfilePhotoPath","string","nvarchar(max)","","True","False",""
"Agents","PropertyId","int","int","","True","True","RealEstate.Models.Property"
"Agents","ResumeFilePath","string","nvarchar(max)","","False","False",""
"Agents","Role","string","nvarchar(50)","50","False","False",""
"Agents","ScheduleId","int?","int","","True","True","RealEstate.Models.Schedule"
"Agents","Status","string","nvarchar(20)","20","False","False",""
"Agents","Status","string","nvarchar(50)","50","False","False",""
"Agents","Title","string","nvarchar(max)","","False","False",""
"Agents","TransportationMethod","string","nvarchar(50)","50","True","False",""
"Agents","UpdatedAt","DateTime?","datetime2","","True","False",""
"Agents","UserId","int","int","","True","True","RealEstate.Models.ApplicationUser"
"Agents","UserId","int","","","True","True","RealEstate.Models.ApplicationUser"
"Agents","UserId","int?","int","","True","True","RealEstate.Models.ApplicationUser"
"Agents","Username","string","nvarchar(50)","50","False","False",""
"Agents","ValidIdFilePath","string","nvarchar(max)","","False","False",""
"Agents","YearsOfExperience","int","int","","True","False",""
"Appointments","Action","string","nvarchar(max)","","False","False",""
"Appointments","CreatedAt","DateTime","datetime2","","True","False",""
"Appointments","Description","string","nvarchar(max)","","False","False",""
"Appointments","EntityId","int?","int","","True","False",""
"Appointments","EntityType","string","nvarchar(max)","","False","False",""
"Appointments","IPAddress","string","nvarchar(max)","","False","False",""
"Appointments","LogId","int","","","True","True",""
"Appointments","LogId","int","int","","True","True",""
"Appointments","NewValues","string","nvarchar(max)","","False","False",""
"Appointments","OldValues","string","nvarchar(max)","","False","False",""
"Appointments","UserAgent","string","nvarchar(max)","","False","False",""
"Appointments","UserId","int?","int","","True","False","RealEstate.Models.ApplicationUser"
"Appointments","UserRole","string","nvarchar(max)","","False","False",""
"AuditLogs","ActivityId","int","","","True","True",""
"AuditLogs","ActivityId","int","int","","True","True",""
"AuditLogs","ActivityType","string","nvarchar(max)","","False","False",""
"AuditLogs","CampaignId","int","int","","True","True","RealEstate.Models.MarketingCampaign"
"AuditLogs","CreatedAt","DateTime","datetime2","","True","False",""
"AuditLogs","Description","string","nvarchar(max)","","False","False",""
"AuditLogs","Metadata","string","nvarchar(max)","","True","False",""
"AuditLogs","RecipientId","int?","int","","True","True",""
"CampaignActivities","CampaignId","int","int","","True","True","RealEstate.Models.MarketingCampaign"
"CampaignActivities","ClickedAt","DateTime?","datetime2","","True","False",""
"CampaignActivities","ConvertedAt","DateTime?","datetime2","","True","False",""
"CampaignActivities","CustomerId","int?","int","","True","True","RealEstate.Models.Customer"
"CampaignActivities","Email","string","nvarchar(max)","","False","False",""
"CampaignActivities","Error","string","nvarchar(max)","","True","False",""
"CampaignActivities","OpenedAt","DateTime?","datetime2","","True","False",""
"CampaignActivities","PhoneNumber","string","nvarchar(max)","","False","False",""
"CampaignActivities","RecipientId","int","int","","True","True",""
"CampaignActivities","RecipientId","int","","","True","True",""
"CampaignActivities","SentAt","DateTime?","datetime2","","True","False",""
"CampaignActivities","Status","string","nvarchar(max)","","False","False",""
"CampaignRecipients","Amount","decimal","decimal(18,2)","","True","False",""
"CampaignRecipients","CommissionId","int","","","True","True",""
"CampaignRecipients","CommissionId","int","int","","True","True",""
"CampaignRecipients","EmployeeId","int","int","","True","True","RealEstate.Models.Employee"
"CampaignRecipients","Message","string","nvarchar(max)","","False","False",""
"CampaignRecipients","Status","string","nvarchar(max)","","False","False",""
"CampaignRecipients","TransactionId","int","int","","True","True","RealEstate.Models.Transaction"
"CommissionBatches","AccountingPayoutStatus","int","int","","True","False",""
"CommissionBatches","AccountingReleasedAtUtc","DateTime?","datetime2","","True","False",""
"CommissionBatches","AccountingReleasedByUserId","int?","int","","True","False",""
"CommissionBatches","AddOnsTotal","decimal","decimal(18,2)","","True","False",""
"CommissionBatches","AgentPayoutAmount","decimal","decimal(18,2)","","True","False",""
"CommissionBatches","AgentSplitPercent","decimal","decimal(18,2)","","True","False",""
"CommissionBatches","AgentUserId","int","int","","True","False",""
"CommissionBatches","AuditJson","string","nvarchar(2000)","2000","False","False",""
"CommissionBatches","BatchId","string","nvarchar(80)","80","True","False",""
"CommissionBatches","BrokerUserId","int?","int","","True","False",""
"CommissionBatches","CompanySplitPercent","decimal","decimal(18,2)","","True","False",""
"CommissionBatches","CompletedAtUtc","DateTime?","datetime2","","True","False",""
"CommissionBatches","CreatedAtUtc","DateTime","datetime2","","True","False",""
"CommissionBatches","DealDocumentsJson","string","nvarchar(1000)","1000","False","False",""
"CommissionBatches","GrossCommission","decimal","decimal(18,2)","","True","False",""
"CommissionBatches","Id","int","int","","True","True",""
"CommissionBatches","Id","int","","","True","True",""
"CommissionBatches","ManagerApprovedAtUtc","DateTime?","datetime2","","True","False",""
"CommissionBatches","ManagerApprovedByUserId","int?","int","","True","False",""
"CommissionBatches","ManagerNotes","string","nvarchar(500)","500","True","False",""
"CommissionBatches","PayStubUrl","string","nvarchar(500)","500","True","False",""
"CommissionBatches","PropertyAddress","string","nvarchar(300)","300","True","False",""
"CommissionBatches","PropertyId","int?","int","","True","True","RealEstate.Models.Property"
"CommissionBatches","PropertyLabel","string","nvarchar(200)","200","False","False",""
"CommissionBatches","RejectedAtUtc","DateTime?","datetime2","","True","False",""
"CommissionBatches","RejectedByUserId","int?","int","","True","False",""
"CommissionBatches","Status","int","int","","True","False",""
"CommissionBatches","TransferredToAccountingAtUtc","DateTime?","datetime2","","True","False",""
"CommissionDeals","AgentSplitPercent","decimal","decimal(18,2)","","True","False",""
"CommissionDeals","CommissionPercent","decimal","decimal(18,2)","","True","False",""
"CommissionDeals","CompanySharePercent","decimal","decimal(18,2)","","True","False",""
"CommissionDeals","CompanySplitPercent","decimal","decimal(18,2)","","True","False",""
"CommissionDeals","CreatedAt","DateTime","datetime2","","True","False",""
"CommissionDeals","IsActive","bool","bit","","True","False",""
"CommissionDeals","ManagerId","int?","int","","True","False","RealEstate.Models.ApplicationUser"
"CommissionDeals","MinimumDealThreshold","decimal","decimal(18,2)","","True","False",""
"CommissionDeals","RuleId","int","","","True","True",""
"CommissionDeals","RuleId","int","int","","True","True",""
"CommissionDeals","UpdatedAt","DateTime?","datetime2","","True","False",""
"CommissionRules","Address","string","nvarchar(max)","","True","False",""
"CommissionRules","BrokerId","int?","int","","True","False",""
"CommissionRules","CardholderName","string","nvarchar(max)","","True","False",""
"CommissionRules","CardNumber","string","nvarchar(max)","","True","False",""
"CommissionRules","City","string","nvarchar(max)","","True","False",""
"CommissionRules","Country","string","nvarchar(max)","","True","False",""
"CommissionRules","CreatedDate","DateTime","datetime2","","True","False",""
"CommissionRules","CustomerId","int","","","True","True","RealEstate.Models.Customer"
"CommissionRules","CustomerId","int","int","","True","True","RealEstate.Models.Customer"
"CommissionRules","CVV","string","nvarchar(max)","","True","False",""
"CommissionRules","Email","string","nvarchar(max)","","False","False",""
"CommissionRules","ExpiryDate","string","nvarchar(max)","","True","False",""
"CommissionRules","FullName","string","nvarchar(max)","","False","False",""
"CommissionRules","InterestedProperties","string","nvarchar(max)","","True","False",""
"CommissionRules","IsActive","bool","bit","","True","False",""
"CommissionRules","LastContactedDate","DateTime?","datetime2","","True","False",""
"CommissionRules","MaxBudget","decimal?","decimal(18,2)","","True","False",""
"CommissionRules","MinBudget","decimal?","decimal(18,2)","","True","False",""
"CommissionRules","Notes","string","nvarchar(max)","","True","False",""
"CommissionRules","PaymentMethod","string","nvarchar(max)","","False","False",""
"CommissionRules","Phone","string","nvarchar(max)","","False","False",""
"CommissionRules","PropertyType","string","nvarchar(max)","","False","False",""
"CommissionRules","PurchasedPropertyId","int?","int","","True","False","RealEstate.Models.Property"
"CommissionRules","State","string","nvarchar(max)","","True","False",""
"CommissionRules","Status","string","nvarchar(max)","","False","False",""
"CommissionRules","ZipCode","string","nvarchar(max)","","True","False",""
"Commissions","BatchId","string","nvarchar(80)","80","False","False",""
"Commissions","CompletedAtUtc","DateTime?","datetime2","","True","False",""
"Commissions","CompletedByUserId","int?","int","","True","False",""
"Commissions","CreatedAtUtc","DateTime","datetime2","","True","False",""
"Commissions","CreatedByUserId","int","int","","True","False",""
"Commissions","Id","int","","","True","True",""
"Commissions","Id","int","int","","True","True",""
"Commissions","Status","int","int","","True","False",""
"Customers","CreatedAt","DateTime","datetime2","","True","False",""
"Customers","CreatedBy","int?","int","","True","False","RealEstate.Models.Employee"
"Customers","Criteria","string","nvarchar(max)","","False","False",""
"Customers","CustomerCount","int","int","","True","False",""
"Customers","Description","string","nvarchar(max)","","False","False",""
"Customers","IsActive","bool","bit","","True","False",""
"Customers","Name","string","nvarchar(200)","200","False","False",""
"Customers","SegmentId","int","","","True","True","RealEstate.Models.CustomerSegment"
"Customers","SegmentId","int","int","","True","True","RealEstate.Models.CustomerSegment"
"Customers","UpdatedAt","DateTime?","datetime2","","True","False",""
"CustomerSegments","CreatedAt","DateTime","datetime2","","True","False",""
"CustomerSegments","DeptId","int","","","True","True",""
"CustomerSegments","DeptId","int","int","","True","True",""
"CustomerSegments","DeptName","string","nvarchar(max)","","False","False",""
"Departments","DepartmentDeptId","int","int","","True","False","RealEstate.Models.Department"
"Departments","DeptId","int","int","","True","False",""
"Departments","EmployeeId","int","int","","True","True","RealEstate.Models.Employee"
"Departments","EmployeeId","int","","","True","True","RealEstate.Models.Employee"
"Departments","HireDate","DateTime","datetime2","","True","False",""
"Departments","Salary","decimal","decimal(18,2)","","True","False",""
"Departments","Status","string","nvarchar(max)","","False","False",""
"Departments","UserId","int","int","","True","False","RealEstate.Models.ApplicationUser"
"Employees","Category","string","nvarchar(100)","100","False","False",""
"Employees","CreatedAt","DateTime","datetime2","","True","False",""
"Employees","Criteria","string","nvarchar(500)","500","False","False",""
"Employees","Icon","string","nvarchar(50)","50","False","False",""
"Employees","Id","int","","","True","True",""
"Employees","Id","int","int","","True","True",""
"Employees","IsActive","bool","bit","","True","False",""
"Employees","Name","string","nvarchar(100)","100","False","False",""
"Employees","SortOrder","int","int","","True","False",""
"Employees","UpdatedAt","DateTime?","datetime2","","True","False",""
"Inquiries","IdentityVerified","bool","bit","","True","False",""
"Inquiries","Rating","int","int","","True","False",""
"Inquiries","SellerId","int","int","","True","True","RealEstate.Models.PropertySeller"
"Inquiries","SellerId","int","","","True","True","RealEstate.Models.PropertySeller"
"Inquiries","SellerName","string","nvarchar(max)","","False","False",""
"Inquiries","UserId","int","int","","True","False","RealEstate.Models.ApplicationUser"
"InspectionItems","DateIssued","DateTime","datetime2","","True","False",""
"InspectionItems","EmployeeId","int","int","","True","False","RealEstate.Models.Employee"
"InspectionItems","InvoiceId","int","","","True","True","RealEstate.Models.Invoice"
"InspectionItems","InvoiceId","int","int","","True","True","RealEstate.Models.Invoice"
"InspectionItems","Status","string","nvarchar(max)","","False","False",""
"InspectionItems","TotalAmount","decimal","decimal(18,2)","","True","False",""
"InspectionItems","TransactionId","int","int","","True","True","RealEstate.Models.Transaction"
"InspectionItems","TransactionId1","int?","int","","True","False","RealEstate.Models.Transaction"
"Invoices","Action","string","nvarchar(max)","","False","False",""
"Invoices","IpAddress","string","nvarchar(max)","","False","False",""
"Invoices","LogId","int","int","","True","True",""
"Invoices","LogId","int","","","True","True",""
"Invoices","Timestamp","DateTime","datetime2","","True","False",""
"Invoices","UserId","int","int","","True","False","RealEstate.Models.ApplicationUser"
"Logs","ActualCost","decimal?","decimal(18,2)","","True","False",""
"Logs","Budget","decimal","decimal(18,2)","","True","False",""
"Logs","CampaignId","int","int","","True","True","RealEstate.Models.MarketingCampaign"
"Logs","CampaignId","int","","","True","True","RealEstate.Models.MarketingCampaign"
"Logs","CampaignType","string","nvarchar(max)","","False","False",""
"Logs","ClickedCount","int","int","","True","False",""
"Logs","ClickRate","double","float","","True","False",""
"Logs","ConversionRate","double","float","","True","False",""
"Logs","ConvertedCount","int","int","","True","False",""
"Logs","CreatedAt","DateTime","datetime2","","True","False",""
"Logs","CreatedBy","int?","int","","True","False","RealEstate.Models.Employee"
"Logs","Description","string","nvarchar(max)","","False","False",""
"Logs","EndDate","DateTime?","datetime2","","True","False",""
"Logs","ModifiedAt","DateTime?","datetime2","","True","False",""
"Logs","Name","string","nvarchar(200)","200","False","False",""
"Logs","OpenedCount","int","int","","True","False",""
"Logs","OpenRate","double","float","","True","False",""
"Logs","SentCount","int","int","","True","False",""
"Logs","StartDate","DateTime?","datetime2","","True","False",""
"Logs","Status","string","nvarchar(max)","","False","False",""
"Logs","TargetAudienceCount","int","int","","True","False",""
"Logs","TargetSegment","string","nvarchar(max)","","False","False",""
"Logs","TemplateId","string","nvarchar(max)","","True","False",""
"MarketingCampaigns","AgentId","int?","int","","True","False","RealEstate.Models.Agent"
"MarketingCampaigns","AppointmentId","int?","int","","True","False","RealEstate.Models.Appointment"
"MarketingCampaigns","CreatedAtUtc","DateTime","datetime2","","True","False",""
"MarketingCampaigns","DataJson","string","nvarchar(max)","","False","False",""
"MarketingCampaigns","EmployeeId","int?","int","","True","False","RealEstate.Models.Employee"
"MarketingCampaigns","IsRead","bool","bit","","True","False",""
"MarketingCampaigns","Message","string","nvarchar(1000)","1000","False","False",""
"MarketingCampaigns","NotificationId","int","","","True","True",""
"MarketingCampaigns","NotificationId","int","int","","True","True",""
"MarketingCampaigns","NotificationType","string","nvarchar(max)","","False","False",""
"MarketingCampaigns","ReadAtUtc","DateTime?","datetime2","","True","False",""
"MarketingCampaigns","RelatedEntityId","int?","int","","True","False",""
"MarketingCampaigns","RelatedEntityType","string","nvarchar(max)","","False","False",""
"MarketingCampaigns","Title","string","nvarchar(200)","200","False","False",""
"MarketingCampaigns","UserId","int?","int","","True","False","RealEstate.Models.ApplicationUser"
"Notifications","ActivityDate","DateTime","datetime2","","True","False",""
"Notifications","ActivityId","int","int","","True","True",""
"Notifications","ActivityId","int","","","True","True",""
"Notifications","ActivityType","string","nvarchar(max)","","False","False",""
"Notifications","CompletedAt","DateTime?","datetime2","","True","False",""
"Notifications","CreatedAt","DateTime","datetime2","","True","False",""
"Notifications","Description","string","nvarchar(max)","","False","False",""
"Notifications","OpportunityId","int","int","","True","True","RealEstate.Models.SalesOpportunity"
"Notifications","PerformedBy","int?","int","","True","False","RealEstate.Models.Employee"
"Notifications","Status","string","nvarchar(max)","","False","False",""
"Notifications","Subject","string","nvarchar(max)","","False","False",""
"OpportunityActivities","CreatedAt","DateTime","datetime2","","True","False",""
"OpportunityActivities","CreatedBy","int?","int","","True","False","RealEstate.Models.Employee"
"OpportunityActivities","IsPrivate","bool","bit","","True","False",""
"OpportunityActivities","Note","string","nvarchar(max)","","False","False",""
"OpportunityActivities","NoteId","int","int","","True","True",""
"OpportunityActivities","NoteId","int","","","True","True",""
"OpportunityActivities","OpportunityId","int","int","","True","True","RealEstate.Models.SalesOpportunity"
"OpportunityNotes","ExpiresAt","DateTime","datetime2","","True","False",""
"OpportunityNotes","IsUsed","bool","bit","","True","False",""
"OpportunityNotes","OtpCode","string","nvarchar(max)","","False","False",""
"OpportunityNotes","OtpId","int","int","","True","True",""
"OpportunityNotes","OtpId","int","","","True","True",""
"OpportunityNotes","UserId","int","int","","True","False","RealEstate.Models.ApplicationUser"
"Otps","CreatedAt","DateTime","datetime2","","True","False",""
"Otps","ExpiresAt","DateTime","datetime2","","True","False",""
"Otps","Id","int","","","True","True",""
"Otps","Id","int","int","","True","True",""
"Otps","IsUsed","bool","bit","","True","False",""
"Otps","OtpCode","string","nvarchar(max)","","False","False",""
"Otps","UserId","int","int","","True","False","RealEstate.Models.ApplicationUser"
"OtpVerifications","Amount","decimal","decimal(18,2)","","True","False",""
"OtpVerifications","CreatedAt","DateTime","datetime2","","True","False",""
"OtpVerifications","CustomerAddress","string","nvarchar(max)","","True","False",""
